판매일,기간,차량/세부모델,미션,연식,연료,주행거리,색상,가격,옵션
2021-08-31,20?일,?QM3 RE 시그니처 에투왈 화이트 [무],오토,2017.07,휘발유,"75,920",흰색,"1,170",옵션
,,,,[ 2017 ],,,,,
2021-08-31,19?일,?제네시스DH G330 모던 [무],오토,2015.03,휘발유,"135,268",검정색,"1,760",옵션
,,,,[ 2016 ],,,,,
2021-08-31,19?일,?G80 3.3 GDI AWD 프레스티지 [무],오토,2019.03,휘발유,"68,891",쥐색,"3,680",옵션
,,,,[ 2019 ],,,,,
2021-08-31,19?일,?더뉴레이 럭셔리 [무],오토,2019.10,휘발유,"31,009",흰색,"1,390",옵션
,,,,[ 2019 ],,,,,
2021-08-31,19?일,?포터2 내장탑 초장축 슈퍼캡(CRDI) 플러스 [무],수동,2015.10,경유,"153,905",흰색,"1,070",옵션
,,,,[ 2016 ],,,,,
2021-08-31,19?일,?아반떼AD 1.6 LPI 스마트 [무],오토,2018.04,LPG,"77,000",흰색,"1,140",옵션
,,,,[ 2018 ],,,,,
2021-08-31,18?일,?아반떼AD 1.6 GDI 스마트 [무],오토,2016.06,휘발유,"41,196",흰색,"1,270",옵션
,,,,[ 2017 ],,,,,
2021-08-31,18?일,?CLA-CLASS CLA220 AMG LINE [무],오토,2018.09,휘발유,"35,971",흰색,"3,250",옵션
,,,,[ 2019 ],,,,,
2021-08-31,18?일,?레이 럭셔리 [무],오토,2014.02,휘발유,"120,000",진주색,10,옵션
,,,,[ 2014 ],,,,,
2021-08-31,18?일,?4-SERIES 420D XDRIVE 스포츠 그란쿠페,오토,2015.11,경유,"111,198",흰색,"2,999",옵션
,,,,[ 2016 ],,,,,
2021-08-31,18?일,?GLA-CLASS GLA220 [무],오토,2017.12,휘발유,"46,665",검정색,"2,820",옵션
,,,,[ 2018 ],,,,,
2021-08-31,14?일,?레이 디럭스,오토,2016.11,휘발유,"135,793",은색,10,옵션
,,,,[ 2016 ],,,,,
2021-08-31,14?일,?레이 럭셔리 [무],오토,2014.02,휘발유,"95,990",은색,770,옵션
,,,,[ 2014 ],,,,,
2021-08-31,14?일,?포터2 더블캡 초장축,수동,2013.10,경유,"178,675",흰색,530,옵션
,,,,[ 2013 ],,,,,
2021-08-31,14?일,?더뉴레이 밴 [무],오토,2018.04,휘발유,"21,000",흰색,950,옵션
,,,,[ 2018 ],,,,,
2021-08-31,17?일,?더뉴모닝 럭셔리 [무],오토,2015.01,휘발유,"61,261",검정색,680,옵션
,,,,[ 2016 ],,,,,
2021-08-31,14?일,?아이오닉 일렉트릭 Q [무],오토,2018.01,전기,"44,806",흰색,"1,990",옵션
,,,,[ 2018 ],,,,,
2021-08-31,14?일,?트랙스 1.4 LTZ [무],오토,2013.04,휘발유,"145,885",흰색,790,옵션
,,,,[ 2013 ],,,,,
2021-08-31,14?일,?뉴SM5플래티넘 RE,오토,2012.11,휘발유,"78,652",검정색,730,옵션
,,,,[ 2013 ],,,,,
2021-08-31,13?일,?아반떼MD M16GDI TOP [무],오토,2011.07,휘발유,"124,178",흰색,630,옵션
,,,,[ 2012 ],,,,,
2021-08-31,14?일,?E-클래스(W213) E200 아방가르드 [무],오토,2018.06,휘발유,"22,603",흰색,"4,550",옵션
,,,,[ 2018 ],,,,,
2021-08-31,13?일,?뉴 제타 2.0 TDI 블루모션 프리미엄 [무],오토,2015.01,경유,"91,851",흰색,"1,149",옵션
,,,,[ 2015 ],,,,,
2021-08-31,13?일,?베뉴 1.6 모던,오토,2019.11,휘발유,"9,779",흰색,"9,999",옵션
,,,,[ 2019 ],,,,,
2021-08-31,13?일,?체어맨W CW700 LUXURY [무],오토,2008.06,휘발유,"202,077",검정색,300,옵션
,,,,[ 2008 ],,,,,
2021-08-31,13?일,?아반떼AD 1.6 GDI 스마트 [무],오토,2017.07,휘발유,"95,094",흰색,"1,150",옵션
,,,,[ 2017 ],,,,,
2021-08-31,13?일,?뉴SM5(신형) 장애우용 LE [무],오토,2011.09,LPG,"111,400",흰색,470,옵션
,,,,[ 2011 ],,,,,
