,index,이름,제조회사,모델명,세부모델,가격,배기량,연식,색상,주행거리,변속기,연료,차종,압류/저당,구동방식,사고유무,전손이력,생산지,신차가격,감가상각률,감가상각액(1년),2023년(예상),2024년(예상),2025년(예상),2026년(예상),2027년(예상),2028년(예상),2029년(예상),2030년(예상),현재가_감가율적용,1년후_감가율적용,2년후_감가율적용,3년후_감가율적용,4년후_감가율적용,5년후_감가율적용,현재가치_잔존가치,1년후_잔존가치,2년후_잔존가치,3년후_잔존가치,4년후_잔존가치,5년후_잔존가치,현재가치_판매이득가치,1년후_판매이득가치,2년후_판매이득가치,3년후_판매이득가치,4년후_판매이득가치,5년후_판매이득가치
113,113,현대 싼타페 CM 2WD(2.0 e-VGT) MLX 럭셔리,현대,싼타페,싼타페CM,730,1995,2011,은색,108335,자동,경유,SUV,0,전륜,1,0,국산차,3100,9.4,291,439,148,0,0,0,0,0,0,2809,2518,2227,1936,1645,1354,2248,1903,1606,1355,1141,964,561,615,621,581,504,390
118,118,현대 그랜저 IG 하이브리드 익스클루시브 세부등급 없음,현대,그랜저,그랜저IG 하이브리드,3200,2359,2019,검정색,45035,자동,하이브리드,대형차,0,전륜,0,0,국산차,3700,10.4,385,2815,2430,2045,1660,1275,890,505,120,3315,2930,2545,2160,1775,1390,2683,2272,1917,1617,1362,1151,632,658,628,543,413,239
122,122,재규어 XE 20d 프레스티지 AWD,재규어,XE,XE,2050,1999,2017,흰색,61623,자동,경유,준중형차,0,4륜,0,0,외제차,6120,12.7,777,1273,496,0,0,0,0,0,0,5343,4566,3789,3012,2235,1458,4461,3703,3060,2521,2081,1720,882,863,729,491,154,0
125,125,현대 더 뉴 아반떼 AD 1.6 스마트,현대,아반떼,더 뉴 아반떼AD,1750,1598,2020,쥐색,19309,자동,휘발유,준중형차,0,전륜,0,0,국산차,1800,7.3,131,1619,1488,1357,1226,1095,964,833,702,1669,1538,1407,1276,1145,1014,1305,1105,932,787,662,560,364,433,475,489,483,454
131,131,기아 스포티지 4세대 가솔린 2.0 2WD 노블레스,기아,스포티지,스포티지 4세대 (15~18년),1980,1999,2018,쥐색,61237,자동,휘발유,SUV,0,전륜,0,0,국산차,2500,8.5,213,1767,1554,1341,1128,915,702,489,276,2287,2074,1861,1648,1435,1222,1813,1535,1295,1093,920,778,474,539,566,555,515,444
134,134,현대 올 뉴 투싼 디젤 1.7 2WD 모던,현대,투싼,올 뉴 투싼,1470,1685,2016,검정색,91829,자동,경유,SUV,0,전륜,0,0,국산차,3000,8.8,264,1206,942,678,414,150,0,0,0,2736,2472,2208,1944,1680,1416,2175,1842,1554,1311,1104,933,561,630,654,633,576,483
135,135,현대 더 뉴 아반떼 1.6 GDi 모던 기본형,현대,아반떼,더 뉴 아반떼,990,1591,2014,은색,47162,자동,휘발유,준중형차,0,전륜,0,0,국산차,2400,7.3,175,815,640,465,290,115,0,0,0,2225,2050,1875,1700,1525,1350,1740,1474,1243,1049,883,746,485,576,632,651,642,604
136,136,아우디 뉴 A6 (C7) 40 TFSI C7,아우디,A6,A6 4세대,3330,1984,2018,청색,37380,자동,휘발유,중형차,0,전륜,0,0,외제차,7000,10.2,714,2616,1902,1188,474,0,0,0,0,6286,5572,4858,4144,3430,2716,5103,4235,3500,2884,2380,1967,1183,1337,1358,1260,1050,749
137,137,벤츠 GLE-클래스 W166 GLE350 d 4MATIC 프리미엄,벤츠,GLE클래스,GLE클래스 1세대,5690,2987,2018,검정색,96606,자동,경유,SUV,0,4륜,0,0,외제차,5380,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
138,138,쉐보레(GM대우) 어메이징 뉴 크루즈 1.4 터보 LT 디럭스팩,쉐보레,크루즈,어메이징 뉴 크루즈,770,1362,2016,쥐색,93514,자동,휘발유,준중형차,0,전륜,0,0,국산차,2000,8.1,162,608,446,284,122,0,0,0,0,1838,1676,1514,1352,1190,1028,1450,1228,1036,874,736,622,388,448,478,478,454,406
140,140,현대 더 뉴 그랜저 하이브리드 가솔린 2.4 하이브리드 익스클루시브,현대,그랜저,더 뉴 그랜저 하이브리드,3980,2359,2020,검정색,24704,자동,하이브리드,대형차,0,전륜,0,0,국산차,4400,10.4,458,3522,3064,2606,2148,1690,1232,774,316,3942,3484,3026,2568,2110,1652,3190,2702,2279,1923,1619,1368,752,782,747,645,491,284
147,147,기아 모닝 어반 가솔린 1.0 시그니쳐 엣지-UP,기아,모닝,모닝 어반 (20년~현재),1540,998,2021,검정색,20087,자동,휘발유,경차,0,전륜,0,0,국산차,1250,6.8,85,1455,1370,1285,1200,1115,1030,945,860,1165,1080,995,910,825,740,906,768,648,546,460,389,259,312,347,364,365,351
150,150,현대 싼타페 TM 디젤 2.0 2WD 프레스티지,현대,싼타페,싼타페TM,2850,1995,2019,쥐색,60243,자동,경유,SUV,0,전륜,0,0,국산차,3600,9.4,338,2512,2174,1836,1498,1160,822,484,146,3262,2924,2586,2248,1910,1572,2610,2210,1865,1573,1325,1120,652,714,721,675,585,452
152,152,현대 엑센트(신형) 1.6 GDI 탑,현대,엑센트,엑센트(신형),670,1591,2011,흰색,74130,자동,휘발유,소형차,0,전륜,1,0,국산차,1900,7.4,141,529,388,247,106,0,0,0,0,1759,1618,1477,1336,1195,1054,1378,1167,984,830,699,591,381,451,493,506,496,463
155,155,벤츠 E-클래스 W212 E300 엘레강스,벤츠,E클래스,E클래스 9세대,1320,3498,2011,흰색,117227,자동,휘발유,중형차,0,후륜,0,0,외제차,9540,10.7,1021,299,0,0,0,0,0,0,0,8519,7498,6477,5456,4435,3414,6955,5772,4770,3930,3244,2681,1564,1726,1707,1526,1191,733
161,161,제네시스 EQ900 5.0 GDI AWD 프레스티지,제네시스,제네시스,EQ900,4420,5038,2016,검정색,65919,자동,휘발유,대형차,0,4륜,0,0,국산차,9000,13.6,1224,3196,1972,748,0,0,0,0,0,7776,6552,5328,4104,2880,1656,6525,5526,4662,3933,3312,2799,1251,1026,666,171,0,0
170,170,현대 코나 디젤 1.6 2WD 모던 테크,현대,코나,코나,1520,1582,2018,쥐색,119119,자동,경유,SUV,0,전륜,0,0,국산차,2500,9,225,1295,1070,845,620,395,170,0,0,2275,2050,1825,1600,1375,1150,1813,1535,1295,1093,920,778,462,515,530,507,455,372
173,173,기아 모하비 4WD KV300 세부등급 없음,기아,모하비,모하비 (07~16년),1730,2959,2013,쥐색,136643,자동,경유,SUV,0,4륜,0,0,국산차,4000,11,440,1290,850,410,0,0,0,0,0,3560,3120,2680,2240,1800,1360,2900,2456,2072,1748,1472,1244,660,664,608,492,328,116
174,174,쌍용 뉴코란도 C 2.0 CVX 2WD 최고급형,쌍용,코란도,뉴 코란도,1130,1998,2014,흰색,46230,자동,경유,SUV,0,전륜,0,0,국산차,2600,8.5,221,909,688,467,246,25,0,0,0,2379,2158,1937,1716,1495,1274,1885,1596,1347,1136,957,809,494,562,590,580,538,465
175,175,벤츠 C-클래스 W205 C200,벤츠,C클래스,C클래스 4세대,3850,1991,2019,검정색,31499,자동,휘발유,준중형차,0,후륜,0,0,외제차,8700,11.6,1009,2841,1832,823,0,0,0,0,0,7691,6682,5673,4664,3655,2646,6342,5264,4350,3584,2958,2445,1349,1418,1323,1080,697,201
177,177,기아 셀토스 가솔린 터보 1.6 2WD 노블레스,기아,셀토스,셀토스 (19년~현재),2460,1591,2020,흰색,39661,자동,휘발유,SUV,0,전륜,0,0,국산차,2750,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
179,179,지프 컴패스 2세대 2.4 리미티드,지프,컴패스,컴패스 2세대,2480,2360,2018,흰색,31903,자동,휘발유,SUV,0,4륜,0,0,외제차,4590,8.5,390,2090,1700,1310,920,530,140,0,0,4200,3810,3420,3030,2640,2250,3346,2777,2295,1891,1561,1290,854,1033,1125,1139,1079,960
182,182,현대 캐스퍼 가솔린 1.0 터보 인스퍼레이션,현대,캐스퍼,캐스퍼,2150,998,2022,쥐색,3553,자동,휘발유,경차,0,전륜,0,0,국산차,1600,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
196,196,기아 더 뉴 쏘울 1.6 GDi 프레스티지,기아,쏘울,더 뉴 쏘울 (16~19년),1390,1591,2017,청색,32313,자동,휘발유,준중형차,0,전륜,1,0,국산차,2500,8.3,208,1182,974,766,558,350,142,0,0,2292,2084,1876,1668,1460,1252,1813,1535,1295,1093,920,778,479,549,581,575,540,474
205,205,기아 K5 3세대 가솔린 터보 1.6 시그니처,기아,K5,K5 (19년~현재),3080,1598,2021,쥐색,13602,자동,휘발유,중형차,0,전륜,0,0,국산차,3000,9.8,294,2786,2492,2198,1904,1610,1316,1022,728,2706,2412,2118,1824,1530,1236,2175,1842,1554,1311,1104,933,531,570,564,513,426,303
206,206,르노삼성 SM5 노바 1.6 TCE,르노삼성,SM5,SM5 노바,990,1618,2015,흰색,100822,자동,휘발유,중형차,0,전륜,0,0,국산차,2500,8.9,223,767,544,321,98,0,0,0,0,2277,2054,1831,1608,1385,1162,1813,1535,1295,1093,920,778,464,519,536,515,465,384
207,207,현대 아이오닉 일렉트릭 Q,현대,아이오닉,아이오닉 하이브리드,2230,0,2018,흰색,83475,자동,전기,준중형차,0,전륜,0,0,국산차,2400,6.9,166,2064,1898,1732,1566,1400,1234,1068,902,2234,2068,1902,1736,1570,1404,1740,1474,1243,1049,883,746,494,594,659,687,687,658
213,213,기아 오피러스 프리미엄 GH330 노블레스,기아,오피러스,오피러스 프리미엄 (09~11년),690,3342,2011,은색,116475,자동,휘발유,대형차,0,전륜,0,0,국산차,3500,7,245,445,200,0,0,0,0,0,0,3255,3010,2765,2520,2275,2030,2538,2149,1813,1530,1288,1089,717,861,952,990,987,941
216,216,르노삼성 QM3 RE,르노삼성,QM3,QM3,1020,1461,2014,진주색,58870,자동,경유,SUV,0,전륜,0,0,국산차,2400,12.4,298,722,424,126,0,0,0,0,0,2102,1804,1506,1208,910,612,1740,1474,1243,1049,883,746,362,330,263,159,27,0
224,224,현대 그랜저 HG 하이브리드 프리미엄,현대,그랜저,그랜저HG 하이브리드,1710,2359,2015,청색,80890,자동,하이브리드,대형차,0,전륜,0,0,국산차,4000,10.4,416,1294,878,462,46,0,0,0,0,3584,3168,2752,2336,1920,1504,2900,2456,2072,1748,1472,1244,684,712,680,588,448,260
225,225,현대 더 뉴 그랜저 가솔린 2.5 르블랑,현대,그랜저,더 뉴 그랜저,3520,2497,2022,청색,13084,자동,휘발유,대형차,0,전륜,0,0,국산차,3925,10.4,408,3112,2704,2296,1888,1480,1072,664,256,3517,3109,2701,2293,1885,1477,2846,2410,2033,1715,1444,1221,671,699,668,578,441,256
228,228,르노삼성 뉴SM5 플래티넘 RE 기본형,르노삼성,SM5,뉴SM5 플래티넘,730,1998,2013,흰색,43746,자동,휘발유,중형차,0,전륜,1,0,국산차,2500,8.9,223,507,284,61,0,0,0,0,0,2277,2054,1831,1608,1385,1162,1813,1535,1295,1093,920,778,464,519,536,515,465,384
232,232,BMW 3시리즈 GT (F34) GT 320d 럭셔리,BMW,3시리즈,3시리즈 6세대 (12~18년),3180,1995,2018,청색,64465,자동,경유,준중형차,0,후륜,0,0,외제차,5800,9.3,539,2641,2102,1563,1024,485,0,0,0,5261,4722,4183,3644,3105,2566,4228,3509,2900,2390,1972,1630,1033,1213,1283,1254,1133,936
234,234,현대 아반떼 (CN7) 가솔린 1.6 터보 (N라인) 인스퍼레이션,현대,아반떼,아반떼 CN7,2750,1598,2021,쥐색,13761,자동,휘발유,준중형차,0,전륜,0,0,국산차,2600,7.3,190,2560,2370,2180,1990,1800,1610,1420,1230,2410,2220,2030,1840,1650,1460,1885,1596,1347,1136,957,809,525,624,683,704,693,651
235,235,쌍용 코란도 투리스모 4WD GT 9인승,쌍용,코란도,코란도 투리스모,950,1998,2014,청색,135687,자동,경유,SUV,0,4륜,0,0,국산차,3000,8.5,255,695,440,185,0,0,0,0,0,2745,2490,2235,1980,1725,1470,2175,1842,1554,1311,1104,933,570,648,681,669,621,537
247,247,현대 더 뉴 그랜드 스타렉스 밴 5인승 모던,현대,스타렉스,더 뉴 그랜드 스타렉스,2250,2497,2019,흰색,53940,자동,경유,승합차,0,전륜,0,0,국산차,2625,7.2,189,2061,1872,1683,1494,1305,1116,927,738,2436,2247,2058,1869,1680,1491,1906,1599,1339,1118,937,782,530,648,719,751,743,709
255,255,기아 더 K9 3.8 GDI AWD 플래티넘Ⅱ,기아,K9,더 K9 (18년~현재),3890,3778,2019,흰색,44502,자동,휘발유,대형차,0,4륜,0,0,국산차,6500,13.8,897,2993,2096,1199,302,0,0,0,0,5603,4706,3809,2912,2015,1118,4713,3991,3367,2841,2392,2022,890,715,442,71,0,0
261,261,포드 익스플로러 2.3 리미티드 4WD 5세대,포드,익스플로러,익스플로러 5세대,2690,2261,2017,흰색,66306,자동,휘발유,SUV,0,4륜,1,0,외제차,5460,9,491,2199,1708,1217,726,235,0,0,0,4969,4478,3987,3496,3005,2514,3980,3303,2730,2250,1856,1534,989,1175,1257,1246,1149,980
262,262,기아 올 뉴 K3 럭셔리,기아,K3,올 뉴 K3 (18~21년),1730,1598,2019,청색,27456,자동,휘발유,준중형차,0,전륜,0,0,국산차,2400,10,240,1490,1250,1010,770,530,290,50,0,2160,1920,1680,1440,1200,960,1740,1474,1243,1049,883,746,420,446,437,391,317,214
264,264,벤츠 C-클래스 W204 C200 CGI 아방가르드,벤츠,C클래스,C클래스 3세대,1300,1796,2011,은색,38031,자동,휘발유,준중형차,0,후륜,0,0,외제차,6050,11.6,702,598,0,0,0,0,0,0,0,5348,4646,3944,3242,2540,1838,4410,3660,3025,2493,2057,1700,938,986,919,749,483,138
265,265,쌍용 더 뉴 코란도 스포츠 2.2 CX7 4WD 클럽,쌍용,코란도,더 뉴 코란도 스포츠,1550,2157,2017,은색,57452,자동,경유,SUV,0,4륜,1,0,국산차,2500,8.5,213,1337,1124,911,698,485,272,59,0,2287,2074,1861,1648,1435,1222,1813,1535,1295,1093,920,778,474,539,566,555,515,444
268,268,기아 스팅어 2.2 디젤 AWD 프라임,기아,스팅어,스팅어 (17~20년),3050,2199,2020,청색,34630,자동,경유,중형차,0,4륜,0,0,국산차,4000,12.1,484,2566,2082,1598,1114,630,146,0,0,3516,3032,2548,2064,1580,1096,2900,2456,2072,1748,1472,1244,616,576,476,316,108,0
279,279,기아 카니발 (4세대) 디젤 2.2 (7인승) 시그니처,기아,카니발,카니발 4세대 (20년~현재),4390,2151,2021,쥐색,21926,자동,경유,SUV,0,전륜,0,0,국산차,3800,10.7,407,3983,3576,3169,2762,2355,1948,1541,1134,3393,2986,2579,2172,1765,1358,2755,2333,1968,1661,1398,1182,638,653,611,511,367,176
280,280,BMW 4시리즈 (F32) 420d 럭셔리 쿠페,BMW,4시리즈,4시리즈 1세대 (13~20년),1950,1995,2014,검정색,105000,자동,경유,스포츠카,0,후륜,0,0,외제차,6300,10.4,655,1295,640,0,0,0,0,0,0,5645,4990,4335,3680,3025,2370,4593,3812,3150,2596,2142,1770,1052,1178,1185,1084,883,600
284,284,기아 올 뉴 쏘렌토 디젤 2.2 2WD 노블레스,기아,쏘렌토,올 뉴 쏘렌토 (14~17년),2340,2199,2016,흰색,47481,자동,경유,SUV,0,전륜,0,0,국산차,3000,9.1,273,2067,1794,1521,1248,975,702,429,156,2727,2454,2181,1908,1635,1362,2175,1842,1554,1311,1104,933,552,612,627,597,531,429
288,288,기아 K5 2.0 프레스티지 기본형,기아,K5,K5 (10~13년),970,1998,2012,흰색,68512,자동,휘발유,중형차,0,전륜,0,0,국산차,2600,9.8,255,715,460,205,0,0,0,0,0,2345,2090,1835,1580,1325,1070,1885,1596,1347,1136,957,809,460,494,488,444,368,261
290,290,현대 쏘나타 DN8 하이브리드 프리미엄 패밀리,현대,쏘나타,쏘나타 DN8 하이브리드,2870,1999,2021,검정색,24874,자동,하이브리드,중형차,0,전륜,0,0,국산차,3300,8.7,287,2583,2296,2009,1722,1435,1148,861,574,3013,2726,2439,2152,1865,1578,2393,2026,1709,1442,1214,1026,620,700,730,710,651,552
295,295,벤츠 GLA-클래스 X156 GLA220,벤츠,GLA클래스,GLA클래스 1세대,2620,1991,2018,쥐색,97416,자동,휘발유,SUV,0,전륜,0,0,외제차,5350,9.9,530,2090,1560,1030,500,0,0,0,0,4820,4290,3760,3230,2700,2170,3900,3237,2675,2204,1819,1503,920,1053,1085,1026,881,667
296,296,쉐보레(GM대우) 더 넥스트 스파크 LT 플러스,쉐보레,스파크,더 넥스트 스파크,810,999,2017,진주색,13166,자동,휘발유,경차,0,전륜,1,0,국산차,1000,5,50,760,710,660,610,560,510,460,410,950,900,850,800,750,700,725,614,518,437,368,311,225,286,332,363,382,389
301,301,기아 K7 프리미어 하이브리드 노블레스,기아,K7,K7 프리미어 하이브리드 (19~21년),3380,2359,2020,흰색,25661,자동,하이브리드,대형차,0,전륜,0,0,국산차,3800,10.8,410,2970,2560,2150,1740,1330,920,510,100,3390,2980,2570,2160,1750,1340,2755,2333,1968,1661,1398,1182,635,647,602,499,352,158
303,303,혼다 오딧세이 5세대 3.5,혼다,오딧세이,올 뉴 오딧세이,3750,3471,2019,흰색,70666,자동,휘발유,SUV,0,전륜,0,0,외제차,5710,11.4,651,3099,2448,1797,1146,495,0,0,0,5059,4408,3757,3106,2455,1804,4163,3455,2855,2353,1941,1605,896,953,902,753,514,199
319,319,기아 로체 이노베이션 LEX20 최고급형,기아,로체,로체 이노베이션 (08~10년),560,1998,2010,흰색,75184,자동,휘발유,중형차,0,전륜,0,0,국산차,2200,6.4,141,419,278,137,0,0,0,0,0,2059,1918,1777,1636,1495,1354,1595,1351,1140,961,810,684,464,567,637,675,685,670
338,338,쌍용 올 뉴 렉스턴 디젤 2.2 5인승 4WD 프레스티지,쌍용,렉스턴,올 뉴 렉스턴,3820,2157,2021,흰색,15420,자동,경유,SUV,0,4륜,0,0,국산차,4500,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
340,340,현대 벨로스터 (JS) 1.4 터보 모던 코어,현대,벨로스터,벨로스터 JS,1770,1353,2019,빨간색,13170,자동,휘발유,준중형차,0,전륜,0,0,국산차,2300,8.5,196,1574,1378,1182,986,790,594,398,202,2104,1908,1712,1516,1320,1124,1668,1412,1191,1005,846,715,436,496,521,511,474,409
341,341,기아 더 프레스티지 K7 2.4 GDI 프레스티지,기아,K7,더 프레스티지 K7 (11~12년),950,2359,2012,쥐색,109025,자동,휘발유,대형차,0,전륜,0,0,국산차,3000,10.8,324,626,302,0,0,0,0,0,0,2676,2352,2028,1704,1380,1056,2175,1842,1554,1311,1104,933,501,510,474,393,276,123
344,344,현대 아반떼 HD 1.6 VVT S16 럭셔리,현대,아반떼,아반떼HD,530,1591,2010,은색,78708,자동,휘발유,준중형차,0,전륜,0,0,국산차,1700,7.3,124,406,282,158,34,0,0,0,0,1576,1452,1328,1204,1080,956,1233,1044,881,743,626,529,343,408,447,461,454,427
353,353,쉐보레(GM대우) 뉴 다마스 5인승 코치 슈퍼,쉐보레,다마스,뉴다마스,710,796,2019,흰색,53815,수동,LPG,경승합차,0,후륜,0,0,국산차,1000,10,100,610,510,410,310,210,110,10,0,900,800,700,600,500,400,726,609,510,426,357,298,174,191,190,174,143,102
356,356,기아 뉴 쏘렌토 R 디젤 2.2 4WD 프레스티지,기아,쏘렌토,뉴 쏘렌토R (12~14년),1750,2199,2014,은색,45789,자동,경유,SUV,0,4륜,0,0,국산차,3000,9.1,273,1477,1204,931,658,385,112,0,0,2727,2454,2181,1908,1635,1362,2175,1842,1554,1311,1104,933,552,612,627,597,531,429
358,358,기아 더 뉴 모하비 디젤 3.0 4WD 프레지던트,기아,모하비,더 뉴 모하비 (16년~19년),3360,2959,2019,쥐색,58960,자동,경유,SUV,0,4륜,0,0,국산차,4400,11,484,2876,2392,1908,1424,940,456,0,0,3916,3432,2948,2464,1980,1496,3190,2702,2279,1923,1619,1368,726,730,669,541,361,128
359,359,제네시스 GV80 가솔린 3.5 AWD (7인승),제네시스,제네시스,GV80,8070,3470,2020,검정색,13269,자동,휘발유,SUV,0,4륜,0,0,국산차,6900,13.6,938,7132,6194,5256,4318,3380,2442,1504,566,5962,5024,4086,3148,2210,1272,5003,4237,3574,3015,2539,2146,959,787,512,133,0,0
360,360,기아 니로 프레스티지,기아,니로,니로 (16~19년),1970,1580,2017,흰색,40082,자동,하이브리드,SUV,0,전륜,0,0,국산차,3000,13.3,399,1571,1172,773,374,0,0,0,0,2601,2202,1803,1404,1005,606,2175,1842,1554,1311,1104,933,426,360,249,93,0,0
368,368,기아 K7 프리미어 가솔린 2.5 X 에디션,기아,K7,K7 프리미어 (19~21년),3050,2497,2020,쥐색,18800,자동,휘발유,대형차,0,전륜,0,0,국산차,3500,10.8,378,2672,2294,1916,1538,1160,782,404,26,3122,2744,2366,1988,1610,1232,2538,2149,1813,1530,1288,1089,584,595,553,458,322,143
369,369,기아 더 뉴 K3 트렌디 스타일,기아,K3,더 뉴 K3 (15~18년),1340,1591,2018,흰색,24757,자동,휘발유,준중형차,0,전륜,0,0,국산차,2000,10,200,1140,940,740,540,340,140,0,0,1800,1600,1400,1200,1000,800,1450,1228,1036,874,736,622,350,372,364,326,264,178
375,375,현대 맥스크루즈 디젤(e-VGT) 2.2 4WD 익스클루시브 스페셜,현대,크루즈,맥스크루즈,1800,2199,2015,은색,91204,자동,경유,SUV,0,4륜,0,0,국산차,3900,8.1,316,1484,1168,852,536,220,0,0,0,3584,3268,2952,2636,2320,2004,2828,2395,2020,1704,1435,1213,756,873,932,932,885,791
377,377,포드 F150 2.7L,포드,F150,F150,5850,2700,2019,검정색,83557,자동,휘발유,화물차,0,4륜,1,0,외제차,4500,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
378,378,쉐보레(GM대우) 올 뉴 말리부 1.5 터보 LTZ 프리미엄 세이프티,쉐보레,말리부,올 뉴 말리부,2220,1490,2018,진주색,31237,자동,휘발유,중형차,0,전륜,0,0,국산차,3000,10.8,324,1896,1572,1248,924,600,276,0,0,2676,2352,2028,1704,1380,1056,2175,1842,1554,1311,1104,933,501,510,474,393,276,123
380,380,기아 봉고III 트럭 CRDi 카고 4WD 1톤 장축 더블캡 노블레스,기아,봉고,봉고3 (04~19년),1530,2497,2019,청색,88265,수동,경유,화물차,0,4륜,0,0,국산차,1500,8.2,123,1407,1284,1161,1038,915,792,669,546,1377,1254,1131,1008,885,762,1007,896,765,639,536,447,370,358,366,369,349,315
387,387,제네시스 더 뉴 G70 가솔린 터보 2.0 AWD,제네시스,제네시스,더 뉴 G70,4290,1998,2021,흰색,16184,자동,휘발유,중형차,0,4륜,0,0,국산차,4915,13.6,668,3622,2954,2286,1618,950,282,0,0,4247,3579,2911,2243,1575,907,3563,3018,2546,2148,1809,1529,684,561,365,95,0,0
388,388,기아 스포티지 R 디젤 2WD TLX 최고급형,기아,스포티지,스포티지R (10~13년),1130,1995,2013,검정색,103469,자동,경유,SUV,0,전륜,0,0,국산차,2500,8.5,213,917,704,491,278,65,0,0,0,2287,2074,1861,1648,1435,1222,1813,1535,1295,1093,920,778,474,539,566,555,515,444
390,390,도요타 시에나 3.5,도요타,시에나,시에나,2900,3456,2017,진주색,31756,자동,휘발유,SUV,0,전륜,0,0,외제차,6000,9.1,546,2354,1808,1262,716,170,0,0,0,5454,4908,4362,3816,3270,2724,4374,3630,3000,2472,2040,1686,1080,1278,1362,1344,1230,1038
393,393,폭스바겐 아테온 2.0 TDI 프레스티지,폭스바겐,아테온,아테온,3710,1968,2019,은회색,30664,자동,경유,중형차,0,전륜,0,0,외제차,5800,12.5,725,2985,2260,1535,810,85,0,0,0,5075,4350,3625,2900,2175,1450,4228,3509,2900,2390,1972,1630,847,841,725,510,203,0
398,398,아우디 뉴 A3 (8V) 35 TDI 다이나믹 스포트백 8V,아우디,A3,A3 3세대,1760,1968,2016,쥐색,60250,자동,경유,준중형차,0,전륜,0,0,외제차,4000,9.9,396,1364,968,572,176,0,0,0,0,3604,3208,2812,2416,2020,1624,2916,2420,2000,1648,1360,1124,688,788,812,768,660,500
399,399,랜드로버 레인지로버 스포츠 2세대 3.0 SDV6 AB 다이나믹,랜드로버,레인지로버 스포츠,뉴 레인지로버 스포츠,5310,2993,2015,흰색,79081,자동,경유,SUV,0,4륜,1,0,외제차,15000,10,1500,3810,2310,810,0,0,0,0,0,13500,12000,10500,9000,7500,6000,10935,9075,7500,6180,5100,4215,2565,2925,3000,2820,2400,1785
400,400,도요타 RAV4 2.5 2WD 5세대,도요타,RAV4,RAV4 5세대,3200,2487,2021,흰색,9860,자동,휘발유,SUV,0,전륜,0,0,외제차,3600,6.5,234,2966,2732,2498,2264,2030,1796,1562,1328,3366,3132,2898,2664,2430,2196,2624,2178,1800,1483,1224,1012,742,954,1098,1181,1206,1184
408,408,아우디 Q7 (4M) 45 TFSI 콰트로,아우디,Q7,Q7 2세대,5050,1984,2019,은색,62853,자동,휘발유,SUV,0,4륜,0,0,외제차,9500,13.5,1283,3767,2484,1201,0,0,0,0,0,8217,6934,5651,4368,3085,1802,6926,5748,4750,3914,3230,2670,1291,1186,901,454,0,0
411,411,현대 쏘나타 하이브리드 2.0 프리미어,현대,쏘나타,쏘나타 하이브리드,930,1999,2012,흰색,90174,자동,하이브리드,중형차,0,전륜,0,0,국산차,3200,8.7,278,652,374,96,0,0,0,0,0,2922,2644,2366,2088,1810,1532,2320,1965,1658,1398,1178,995,602,679,708,690,632,537
414,414,시트로엥 C3 에어크로스 디젤 1.5 필,시트로엥,C3,C3 에어크로스,1820,1500,2020,기타색,18711,자동,경유,소형차,0,전륜,0,0,외제차,3100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
430,430,쉐보레(GM대우) 말리부 2.0 LT 디럭스팩,쉐보레,말리부,말리부,990,1998,2015,흰색,28865,자동,휘발유,중형차,0,전륜,0,0,국산차,3800,10.8,410,580,170,0,0,0,0,0,0,3390,2980,2570,2160,1750,1340,2755,2333,1968,1661,1398,1182,635,647,602,499,352,158
439,439,벤츠 CLA-클래스 C117 CLA250 4MATIC,벤츠,CLA클래스,CLA클래스 1세대,3250,1991,2018,쥐색,21789,자동,휘발유,준중형차,0,4륜,0,0,외제차,5380,9.2,495,2755,2260,1765,1270,775,280,0,0,4885,4390,3895,3400,2905,2410,3922,3255,2690,2217,1829,1512,963,1135,1205,1183,1076,898
441,441,인피니티 Q30 2.0 프리미엄,인피니티,Q30,Q30,2050,1991,2018,흰색,28079,자동,휘발유,준중형차,0,전륜,0,0,외제차,4000,11.3,452,1598,1146,694,242,0,0,0,0,3548,3096,2644,2192,1740,1288,2916,2420,2000,1648,1360,1124,632,676,644,544,380,164
449,449,BMW 7시리즈 (G11) 730d xDrive M 스포츠,BMW,7시리즈,7시리즈 6세대 (16년~현재),5320,2993,2018,쥐색,114222,자동,경유,대형차,0,4륜,0,0,외제차,17000,10.1,1717,3603,1886,169,0,0,0,0,0,15283,13566,11849,10132,8415,6698,12393,10285,8500,7004,5780,4777,2890,3281,3349,3128,2635,1921
