이름,제조회사,모델명,가격,배기량,연식,색상,주행거리,변속기,연료,차종,압류/저당,구동방식,사고유무,전손이력,생산지
기아 올 뉴 프라이드 1.6 GDI 해치백 럭셔리,기아,프라이드,790,1591,2012,검정색,62813,자동,휘발유,소형차,0,전륜,0,0,국산차
기아 더 뉴 레이 프레스티지,기아,레이,1400,998,2021,흰색,12579,자동,휘발유,경차,0,전륜,0,0,국산차
기아 올 뉴 쏘렌토 디젤 2.0 4WD 노블레스,기아,쏘렌토,2490,1995,2016,쥐색,25975,자동,경유,SUV,0,4륜,0,0,국산차
기아 K5 LPI 디럭스,기아,K5,830,1998,2013,흰색,96453,자동,LPG,중형차,0,전륜,0,0,국산차
랜드로버 디스커버리 5 2.0 SD4 HSE,랜드로버,디스커버리,4720,1999,2017,흰색,57680,자동,경유,SUV,0,4륜,0,0,외제차
현대 아반떼 MD M16 GDI 프리미어,현대,아반떼,680,1591,2011,은색,73404,자동,휘발유,준중형차,0,전륜,0,0,국산차
현대 아반떼 AD 1.6 LPI 스타일(렌터카),현대,아반떼,1030,1591,2018,흰색,108428,자동,LPG,준중형차,0,전륜,0,0,국산차
기아 레이 디럭스,기아,레이,850,998,2017,흰색,71095,자동,휘발유,경차,0,전륜,0,0,국산차
기아 올 뉴 K3 시그니처,기아,K3,1840,1598,2021,빨간색,7178,자동,휘발유,준중형차,0,전륜,0,0,국산차
현대 쏘나타 DN8 1.6 터보 프리미엄 플러스,현대,쏘나타,2800,1598,2022,검정색,4595,자동,휘발유,중형차,0,전륜,0,0,국산차
현대 그랜저 HG HG240 모던 컬렉션,현대,그랜저,1320,2359,2017,검정색,127748,자동,휘발유,대형차,0,전륜,0,0,국산차
기아 더 뉴 카니발 7인승 리무진 VIP,기아,카니발,2670,2199,2019,검정색,95079,자동,경유,RV,0,전륜,0,0,국산차
쌍용 티볼리 LX 2WD 고급형,쌍용,티볼리,1310,1597,2016,흰색,79077,자동,휘발유,SUV,0,전륜,0,0,국산차
쉐보레(GM대우) 어메이징 뉴 크루즈 1.4 터보 LTZ,쉐보레,크루즈,870,1362,2015,쥐색,47534,자동,휘발유,준중형차,0,전륜,1,0,국산차
현대 벨로스터 (JS) 1.4 터보 모던 코어,현대,벨로스터,1750,1353,2020,빨간색,29264,자동,휘발유,준중형차,0,전륜,0,0,국산차
제네시스 G80 3.3 GDI AWD 럭셔리,제네시스,제네시스,2410,3342,2017,검정색,92461,자동,휘발유,대형차,0,4륜,0,0,국산차
제네시스 G90 가솔린 4WD 3.8 프리미엄 럭셔리,제네시스,제네시스,6480,3778,2019,검정색,45364,자동,휘발유,대형차,0,4륜,1,0,국산차
기아 K5 3세대 가솔린 터보 1.6 시그니처,기아,K5,2880,1598,2020,흰색,6954,자동,휘발유,중형차,0,전륜,0,0,국산차
현대 엑센트(신형) 1.4 VVT 스마트,현대,엑센트,920,1368,2017,은색,6930,자동,휘발유,소형차,0,전륜,0,0,국산차
아우디 뉴 A6 (C7) 35 TDI C7,아우디,A6,1990,1968,2015,은색,98908,자동,경유,중형차,0,전륜,0,0,외제차
현대 제네시스 BH330 럭셔리 기본형,현대,제네시스,810,3342,2009,검정색,104121,자동,휘발유,대형차,0,후륜,0,0,국산차
쉐보레(GM대우) 더 뉴 말리부 1.3 터보 프리미어 세부등급없음,쉐보레,말리부,1910,1341,2019,흰색,69539,자동,휘발유,중형차,0,전륜,0,0,국산차
벤츠 C-클래스 W205 C200 아방가르드,벤츠,C클래스,3280,1991,2016,쥐색,34326,자동,휘발유,준중형차,0,후륜,0,0,외제차
포드 익스플로러 2.3 리미티드 4WD 5세대,포드,익스플로러,2890,2261,2018,진주색,97196,자동,휘발유,SUV,0,4륜,1,0,외제차
현대 그랜저 HG HG240 모던,현대,그랜저,1090,2359,2013,은회색,101075,자동,휘발유,대형차,0,전륜,0,0,국산차
현대 더 뉴 아반떼 AD 1.6 스마트,현대,아반떼,1940,1598,2019,흰색,5771,자동,휘발유,준중형차,0,전륜,0,0,국산차
현대 그랜저 IG 3.0 익스클루시브 세부등급 없음,현대,그랜저,1990,2999,2018,검정색,96588,자동,휘발유,대형차,0,전륜,0,0,국산차
벤츠 E-클래스 W213 E300 AMG Line,벤츠,E클래스,4940,1991,2019,흰색,70273,자동,휘발유,중형차,0,후륜,0,0,외제차
르노삼성 SM6 2.0 GDe RE,르노삼성,SM6,1690,1997,2017,흰색,52276,자동,휘발유,중형차,0,전륜,0,0,국산차
BMW 3시리즈 (G20) 가솔린 2WD 320i M 스포츠,BMW,3시리즈,4890,1998,2021,검정색,12407,자동,휘발유,준중형차,0,후륜,0,0,외제차
현대 더 뉴 아반떼 1.6 GDi 스마트 기본형,현대,아반떼,1020,1591,2015,흰색,43957,자동,휘발유,준중형차,0,전륜,0,0,국산차
현대 싼타페 TM 가솔린 2.0T 2WD 프레스티지,현대,싼타페,2940,1998,2020,쥐색,40098,자동,휘발유,SUV,0,전륜,0,0,국산차
BMW 5시리즈 (G30) 530i xDrive M 스포츠 플러스,BMW,5시리즈,4590,1998,2018,검정색,49173,자동,휘발유,중형차,0,4륜,0,0,외제차
기아 올 뉴 K7 3.0 LPI 럭셔리,기아,K7,1550,2999,2016,흰색,94318,자동,LPG,대형차,0,전륜,0,0,국산차
벤츠 GLE-클래스 W166 GLE350 d 4MATIC,벤츠,E클래스,4520,2987,2017,흰색,134530,자동,경유,SUV,0,4륜,0,0,외제차
르노삼성 캡처 가솔린 1.3 에디션 파리,르노삼성,캡처,2090,1332,2020,흰색,40819,자동,휘발유,SUV,0,전륜,0,0,국산차
쌍용 베리 뉴 티볼리 1.5 가솔린 2WD V3,쌍용,티볼리,1990,1497,2021,흰색,2506,자동,휘발유,SUV,0,전륜,0,0,국산차
현대 더 뉴 아반떼 1.6 GDi 스마트 기본형,현대,아반떼,740,1591,2014,은회색,77503,자동,휘발유,준중형차,0,전륜,0,0,국산차
현대 더 뉴 싼타페 디젤 2.2 2WD 캘리그래피,현대,싼타페,3950,2151,2021,흰색,22307,자동,경유,SUV,0,전륜,0,0,국산차
기아 올 뉴 모닝 디럭스 트렌디,기아,모닝,670,998,2015,검정색,32904,자동,휘발유,경차,0,전륜,0,0,국산차
현대 더 뉴 맥스크루즈 디젤 2.2 2WD 익스클루시브,현대,크루즈,1790,2199,2016,쥐색,73677,자동,경유,SUV,0,전륜,0,0,국산차
제네시스 G80 3.8 GDI AWD 파이니스트,제네시스,제네시스,3530,3778,2018,갈색,78540,자동,휘발유,대형차,0,4륜,0,0,국산차
쉐보레(GM대우) 더 뉴 스파크 레드픽 에디션,쉐보레,스파크,1250,999,2021,검정색,27004,자동,휘발유,경차,0,전륜,0,0,국산차
쉐보레(GM대우) 더 넥스트 스파크 LTZ,쉐보레,스파크,940,999,2016,하늘색,16711,자동,휘발유,경차,0,전륜,0,0,국산차
제네시스 G90 가솔린 4WD 3.8 프레스티지,제네시스,제네시스,6650,3778,2019,연금색,98151,자동,휘발유,대형차,0,4륜,0,0,국산차
현대 i30(신형) 1.6 GDI PYL,현대,i30,940,1591,2014,은색,72094,자동,휘발유,준중형차,0,전륜,0,0,국산차
벤츠 C-클래스 W205 C200 쿠페,벤츠,C클래스,3380,1991,2016,쥐색,73521,자동,휘발유,준중형차,0,후륜,0,0,외제차
볼보 V90 크로스컨트리 D5 프로 AWD,볼보,V90,4930,1969,2018,쥐색,54863,자동,경유,대형차,0,4륜,0,0,외제차
쉐보레(GM대우) 올 뉴 크루즈 1.6 디젤 LTZ,쉐보레,크루즈,1170,1598,2018,쥐색,88977,자동,경유,준중형차,0,전륜,0,0,국산차
현대 그랜저 IG 2.2 디젤 프리미엄 스페셜,현대,그랜저,2290,2199,2017,쥐색,74184,자동,경유,대형차,0,전륜,0,0,국산차
쌍용 티볼리 아머 기어 에디션 2WD,쌍용,티볼리,1750,1597,2018,흰색,18096,자동,휘발유,SUV,0,전륜,0,0,국산차
기아 더 뉴 쏘렌토 디젤 2.0 2WD 노블레스 스페셜,기아,쏘렌토,2870,1995,2019,쥐색,19596,자동,경유,SUV,0,전륜,0,0,국산차
현대 싼타페 더 프라임 디젤 2.0 2WD 1 밀리언,현대,싼타페,2190,1995,2017,흰색,83312,자동,경유,SUV,0,전륜,0,0,국산차
현대 LF 쏘나타 2.0 케어플러스,현대,쏘나타,1660,1999,2017,흰색,62675,자동,휘발유,중형차,0,전륜,0,0,국산차
쉐보레(GM대우) 올 뉴 크루즈 1.4 터보 LS,쉐보레,크루즈,1180,1399,2017,쥐색,6686,자동,휘발유,준중형차,0,전륜,0,0,국산차
현대 더 뉴 맥스크루즈 디젤 2.2 2WD 익스클루시브,현대,크루즈,1790,2199,2016,쥐색,73677,자동,경유,SUV,0,전륜,0,0,국산차
제네시스 G80 3.8 GDI AWD 파이니스트,제네시스,제네시스,3530,3778,2018,갈색,78540,자동,휘발유,대형차,0,4륜,0,0,국산차
쉐보레(GM대우) 더 뉴 스파크 레드픽 에디션,쉐보레,스파크,1250,999,2021,검정색,27004,자동,휘발유,경차,0,전륜,0,0,국산차
쉐보레(GM대우) 더 넥스트 스파크 LTZ,쉐보레,스파크,940,999,2016,하늘색,16711,자동,휘발유,경차,0,전륜,0,0,국산차
제네시스 G90 가솔린 4WD 3.8 프레스티지,제네시스,제네시스,6650,3778,2019,연금색,98151,자동,휘발유,대형차,0,4륜,0,0,국산차
현대 i30(신형) 1.6 GDI PYL,현대,i30,940,1591,2014,은색,72094,자동,휘발유,준중형차,0,전륜,0,0,국산차
벤츠 C-클래스 W205 C200 쿠페,벤츠,C클래스,3380,1991,2016,쥐색,73521,자동,휘발유,준중형차,0,후륜,0,0,외제차
볼보 V90 크로스컨트리 D5 프로 AWD,볼보,V90,4930,1969,2018,쥐색,54863,자동,경유,대형차,0,4륜,0,0,외제차
쉐보레(GM대우) 올 뉴 크루즈 1.6 디젤 LTZ,쉐보레,크루즈,1170,1598,2018,쥐색,88977,자동,경유,준중형차,0,전륜,0,0,국산차
현대 그랜저 IG 2.2 디젤 프리미엄 스페셜,현대,그랜저,2290,2199,2017,쥐색,74184,자동,경유,대형차,0,전륜,0,0,국산차
쌍용 티볼리 아머 기어 에디션 2WD,쌍용,티볼리,1750,1597,2018,흰색,18096,자동,휘발유,SUV,0,전륜,0,0,국산차
기아 더 뉴 쏘렌토 디젤 2.0 2WD 노블레스 스페셜,기아,쏘렌토,2870,1995,2019,쥐색,19596,자동,경유,SUV,0,전륜,0,0,국산차
현대 싼타페 더 프라임 디젤 2.0 2WD 1 밀리언,현대,싼타페,2190,1995,2017,흰색,83312,자동,경유,SUV,0,전륜,0,0,국산차
현대 LF 쏘나타 2.0 케어플러스,현대,쏘나타,1660,1999,2017,흰색,62675,자동,휘발유,중형차,0,전륜,0,0,국산차
쉐보레(GM대우) 올 뉴 크루즈 1.4 터보 LS,쉐보레,크루즈,1180,1399,2017,쥐색,6686,자동,휘발유,준중형차,0,전륜,0,0,국산차
현대 아반떼 AD 1.6 LPI 스타일(렌터카),현대,아반떼,990,1591,2017,흰색,93880,자동,LPG,준중형차,0,전륜,0,0,국산차
기아 더 뉴 스포티지 R 디젤 2WD 노블레스,기아,스포티지,1310,1995,2014,은색,113643,자동,경유,SUV,0,전륜,0,0,국산차
기아 K5 2세대 LPI MX 럭셔리,기아,K5,1040,1999,2016,검정색,96726,자동,LPG,중형차,0,전륜,0,0,국산차
