판매일,기간,차량/세부모델,미션,연식,연료,주행거리,색상,가격,옵션
2022-02-25,18?일,?K5 2.0 디럭스 [무],오토,2011.02,휘발유,"119,600",은색투톤,530,옵션
,,,,[ 2011 ],,,,,
2022-02-25,17?일,?3008 1.6 BLUEHDI 악티브 [무],오토,2015.12,경유,"113,000",은색투톤,930,옵션
,,,,[ 2016 ],,,,,
2022-02-25,4?일,?그랜저HG HG300 PRIME [무],오토,2011.04,휘발유,"179,950",검정투톤,730,옵션
,,,,[ 2011 ],,,,,
2022-02-25,39?일,?슈퍼렉스턴 RX7 AWD 최고급형 [무],오토,2009.02,경유,"240,000",검정색,399,옵션
,,,,[ 2009 ],,,,,
2022-02-25,164?일,?엑센트신형 1.4VVT 스마트 [무],오토,2013.05,휘발유,"139,357",은색,390,옵션
,,,,[ 2014 ],,,,,
2022-02-25,198?일,?쿠퍼S 기본형 [무],오토,2011.05,휘발유,"92,000",빨간색,840,옵션
,,,,[ 2011 ],,,,,
2022-02-25,2?일,?싼타페DM 2WD 2.0 EXCLUSIVE,오토,2013.07,경유,"175,364",흰색,100,옵션
,,,,[ 2014 ],,,,,
2022-02-25,52?일,?소나타뉴라이즈 2.0 스마트 [무],오토,2017.09,휘발유,"153,944",검정색,"1,220",옵션
,,,,[ 2018 ],,,,,
2022-02-25,26?일,?소나타더브릴리언트 CVVL 스마트 [무],오토,2014.05,휘발유,"124,000",검정색,670,옵션
,,,,[ 2014 ],,,,,
2022-02-25,78?일,?말리부 LT 기본형,오토,2012.12,휘발유,"150,000",은색,390,옵션
,,,,[ 2012 ],,,,,
2022-02-25,22?일,?카니발R 뉴 리무진 GLX 기본형 [무],오토,2010.03,경유,"261,717",자주색,490,옵션
,,,,[ 2010 ],,,,,
2022-02-25,78?일,?포터2 카고(CRDI) 초장축 슈퍼캡,수동,2010.09,경유,"159,699",파란색,550,옵션
,,,,[ 2010 ],,,,,
2022-02-25,38?일,?봉고3트럭 냉동탑 1톤 초장축 킹캡 CRDi 럭셔리 [무],오토,2019.02,경유,"79,066",노란색,"1,920",옵션
,,,,[ 2019 ],,,,,
2022-02-25,17?일,?더뉴레이 트렌디 [무],오토,2018.01,휘발유,"48,571",검정색,990,옵션
,,,,[ 2018 ],,,,,
2022-02-25,2?일,?봉고3트럭 하이내장탑 1톤 [무],오토,2018.10,경유,"63,908",흰색,"2,190",옵션
,,,,[ 2018 ],,,,,
2022-02-25,14?일,?스파크 LT [무],수동,2013.04,휘발유,"130,000",은색,250,옵션
,,,,[ 2013 ],,,,,
2022-02-25,56?일,?그랜저HG HG300 NOBLE [무],오토,2012.07,휘발유,"178,407",검정색,750,옵션
,,,,[ 2012 ],,,,,
2022-02-25,9?일,?봉고3트럭 1톤 초장축 킹캡 CRDi 럭셔리,오토,2016.07,경유,"200,000",흰색,790,옵션
,,,,[ 2016 ],,,,,
2022-02-25,8?일,?GV80 3.5 T-GDI AWD [무],오토,2020.04,휘발유,"7,300",다크그레이,"7,900",옵션
,,,,[ 2020 ],,,,,
2022-02-25,21?일,?포터2 카고(CRDI) 초장축 슈퍼캡 스마트 [무],오토,2019.03,경유,"45,657",청색,"1,700",옵션
,,,,[ 2019 ],,,,,
2022-02-25,37?일,?X-TYPE 2.2D,오토,2008.11,경유,"207,000",갈색,270,옵션
,,,,[ 2009 ],,,,,
